%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
20.0, -11893.363224668889, -14805.348492306292, -83808.22346308512, -37250.94792258119, -12295.67227311996, -33336.53161961217, -14842.206518913094, -57969.36100356114, -36412.221063640245, -40105.91389011311, -71283.0211261536, -86955.3267306479, -11532.85193834924, -68187.01394641567, -16192.296587502551, -57323.86497543633, 0.1315, 0.979, 0.049, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498597448E9, 0.0, 2025-03-12 17:07:29.859
22.0, -11913.16687025629, -14789.054070598373, -83454.93179022454, -37303.02748716206, -12141.624050333983, -33309.4636570768, -14685.252569347927, -58053.67178364656, -36504.645526962944, -40100.281250510365, -71280.56243426353, -86949.6717393007, -11460.208768869492, -68172.28414681961, -16251.8863382204, -57306.31885603892, 0.1315, 0.979, 0.049, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849859934E9, 0.0, 2025-03-12 17:07:29.859
24.0, -11916.162004013302, -14809.416509797158, -83747.56082863342, -37274.216088559166, -12298.801517343703, -33261.98855185373, -14851.124864950762, -57977.1841141205, -36354.419452478825, -40131.327823558786, -71304.16587640833, -86975.08567274638, -11544.541900699365, -68214.75246128469, -16140.060560710499, -57334.70557149716, 0.1315, 0.979, 0.049, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498599567E9, 0.0, 2025-03-12 17:07:29.859
26.0, -11901.253390461612, -14774.59249193579, -83509.24652925093, -37292.879795179346, -12142.384009645464, -33291.24698534572, -14765.316517986837, -58039.32196370626, -36570.8290422951, -40084.50091892492, -71253.9638583617, -86927.87878845677, -11473.061021931295, -68160.41537051385, -16236.01659965713, -57273.48414343407, 0.13175, 0.9804999999999999, 0.0475, 192.0, 2.0, 16.0, 15.0, 88.0, 0.5, 56.0, 0.0, 0.0, 0.0, 1.741766849859979E9, 0.0, 2025-03-12 17:07:29.859
28.0, -11913.882126078859, -14803.917980661152, -83688.28400233794, -37295.4055423028, -12294.085299263634, -33275.51135724918, -14890.933321825663, -58000.76520452085, -36304.4186001323, -40147.84576271126, -71317.64397831488, -86995.1351875228, -11531.734351126475, -68236.70187433981, -16105.035377149032, -57346.75316175856, 0.13175, 0.9804999999999999, 0.0475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498600013E9, 0.0, 2025-03-12 17:07:29.860
30.0, -11902.326274195466, -14770.747991889477, -83569.95386719154, -37293.080960879444, -12165.383954689974, -33294.08565689155, -14878.148123997227, -58046.832149843234, -36623.355641765076, -40081.84106133474, -71248.0182943366, -86931.63388152527, -11498.474955376978, -68167.63498397291, -16232.55207926656, -57267.426820686684, 0.13175, 0.9804999999999999, 0.0475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498600233E9, 0.0, 2025-03-12 17:07:29.860
32.0, -11927.74020764115, -14801.235771326516, -83614.14326597968, -37322.11587692689, -12290.218447472866, -33297.974860426766, -14955.216938879126, -58021.50762337537, -36266.666503747285, -40161.90500997365, -71330.1386034654, -87015.85525463287, -11540.406827975134, -68259.0089153062, -16097.838115434422, -57347.7366385146, 0.13175, 0.9804999999999999, 0.0475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849860049E9, 0.0, 2025-03-12 17:07:29.860
34.0, -11921.12409128238, -14781.16390480565, -83613.33860317929, -37318.181969902755, -12199.358606262042, -33299.83005521656, -15012.124480262339, -58051.63777490113, -36658.49258404882, -40094.24627950743, -71260.04353285355, -86945.33550087638, -11547.4252757341, -68193.5406557966, -16241.001038670665, -57276.38987021326, 0.13175, 0.9804999999999999, 0.0475, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7417668498600707E9, 0.0, 2025-03-12 17:07:29.860
36.0, -11918.955972070215, -14784.762535662954, -83561.99664616545, -37328.97786247467, -12270.370098396552, -33287.17896785486, -15051.999992370605, -58009.54944009179, -36255.87061117537, -40176.344236891775, -71335.57007736803, -87022.06903959144, -11531.935516826572, -68271.861168368, -16106.823516705457, -57352.16228391675, 0.12887500000000002, 0.97925, 0.04775, 192.0, 1.5, 120.0, 15.0, 72.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.741766849860093E9, 0.0, 2025-03-12 17:07:29.860
38.0, -11912.004579544615, -14772.558483190356, -83700.24218562152, -37303.988612173634, -12199.13508881749, -33275.176081082354, -15176.923892131317, -58039.38901893962, -36683.79475877223, -40052.4038138871, -71218.06695676649, -86903.9624218896, -11525.073531278793, -68163.76813218214, -16262.592823814492, -57234.41329412619, 0.12887500000000002, 0.97925, 0.04775, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741766849860116E9, 0.0, 2025-03-12 17:07:29.860
