0,-5025.00743,-7494.919896,-15466.02136,-26859.71133,-22642.16067,-28396.01378,-19514.45872,-19817.79424,-1407.444645,-8006.707788,-17606.87144,-19097.1293,-19257.57012,-18372.70926,-18556.86528,-22365.62489,0.006,0.498,0.085,192,0,48,15.5,16,2.5,40,0,0,0,1753457185,0
2,-10024.77974,-14953.40645,-30849.00598,-53595.05756,-45219.23306,-56763.12676,-38985.93503,-39560.35251,-2179.317436,-15274.06457,-34723.07738,-37936.99002,-37927.1776,-36209.82602,-36738.48948,-44414.90554,0.006,0.498,0.085,192,0,0,0,0,0,0,0,0,0,1753457185,0
4,-10061.01192,-14996.79118,-30910.92031,-53673.0428,-45233.78405,-56780.00233,-38992.97583,-39584.76062,-2192.348503,-15277.77496,-34755.10743,-37895.23696,-37930.28449,-36193.86687,-36733.88502,-44430.01532,0.006,0.498,0.085,192,0,0,0,0,0,0,0,0,0,1753457185,0
6,-10043.73402,-14975.98171,-30870.28484,-53623.64544,-45238.79084,-56763.26087,-38981.21881,-39565.53812,-2189.286314,-15282.51353,-34728.01712,-37933.36903,-37939.9628,-36207.88142,-36741.12698,-44405.45075,0.006,0.498,0.085,192,0,0,0,0,0,0,0,0,0,1753457185,0
8,-10067.24805,-14997.59585,-30907.07581,-53660.21289,-45237.31562,-56785.36675,-38998.27319,-39583.62068,-2208.486463,-15292.52711,-34774.44169,-37903.93179,-37948.56822,-36203.79105,-36748.86069,-44439.49246,0.018,0.994,0.16,192,0,72,15.5,8,2.5,0,0,0,0,1753457185,0
10,-10012.7098,-14950.00898,-30846.77081,-53608.04392,-45232.33118,-56746.92175,-38971.76403,-39559.19022,-2175.294122,-15267.53786,-34717.22123,-37924.98713,-37932.89965,-36201.31,-36732.76743,-44397.22531,0.018,0.994,0.16,192,0,0,0,0,0,0,0,0,0,1753457185,0
12,-10056.07218,-14989.59392,-30884.85818,-53633.83784,-45218.74132,-56784.07035,-38987.34319,-39566.09691,-2180.256209,-15268.34253,-34744.87033,-37881.62474,-37924.89772,-36186.22258,-36724.89962,-44420.98521,0.018,0.994,0.16,192,0,0,0,0,0,0,0,0,0,1753457185,0
14,-10017.06839,-14952.89236,-30860.09244,-53624.24894,-45246.85982,-56755.72834,-38983.25282,-39573.94237,-2184.838317,-15280.27836,-34722.33978,-37934.1737,-37941.8627,-36217.73854,-36732.54391,-44412.89388,0.018,0.994,0.16,192,0,0,0,0,0,0,0,0,0,1753457185,0
16,-10067.8739,-14993.729,-30887.74155,-53624.11483,-45214.04746,-56783.17628,-38985.5327,-39560.91131,-2185.844146,-15279.65251,-34744.93739,-37890.43133,-37921.27674,-36187.72014,-36724.58669,-44418.99591,0.017,0.994,0.157,192,0,64,15.5,8,2,104,0,0,0,1753457185,0
18,-10038.95075,-14970.86316,-30884.5229,-53654.35674,-45260.96377,-56766.23366,-38999.54724,-39592.58373,-2203.189099,-15306.51931,-34748.13369,-37951.56335,-37959.16295,-36232.93772,-36740.747,-44423.3992,0.017,0.994,0.157,192,0,0,0,0,0,0,0,0,0,1753457185,0
