0,-6224.513796,-7885.315464,-16057.67203,-27387.32426,-24136.86653,-29383.02212,-21082.07596,-21980.99607,-2422.973802,-8877.062366,-18332.23025,-18924.30561,-20183.82641,-19077.28095,-19150.70643,-22862.01243,0.014,0.984,0.204,192,0,56,15,96,3,48,0,0,0,1753456902,0
2,-12404.9723,-15737.86327,-32126.7658,-54844.02834,-48325.87967,-58735.77997,-42176.35598,-43997.46436,-4467.398461,-17671.66915,-36440.02663,-37754.91271,-40187.63187,-37937.90644,-38129.01385,-45570.40132,0.014,0.984,0.204,192,0,0,0,0,0,0,0,0,0,1753456902,0
4,-12403.05005,-15724.63104,-32061.63282,-54719.9091,-48252.52125,-58733.34363,-42140.14615,-43929.31389,-4407.29462,-17611.07357,-36378.62639,-37702.67668,-40115.5922,-37870.82885,-38092.15583,-45513.67259,0.014,0.984,0.204,192,0,0,0,0,0,0,0,0,0,1753456902,0
6,-12394.57874,-15730.30838,-32116.68517,-54837.7475,-48326.2373,-58738.23866,-42177.94295,-43994.46923,-4448.980623,-17649.85384,-36427.3532,-37728.93998,-40170.62219,-37918.16985,-38114.06054,-45560.4995,0.014,0.984,0.204,192,0,0,0,0,0,0,0,0,0,1753456902,0
8,-12422.04904,-15742.42303,-32075.96029,-54741.16561,-48274.49301,-58763.78671,-42167.0353,-43958.68408,-4418.626954,-17621.7577,-36388.9976,-37715.90891,-40131.32782,-37887.61501,-38104.87397,-45524.71435,0.018,0.988,0.194,192,0,72,15,112,3,8,0,0,0,1753456902,0
10,-12435.23657,-15762.629,-32148.447,-54858.80284,-48347.22559,-58777.37657,-42211.73879,-44029.60617,-4479.289589,-17684.78962,-36461.17138,-37753.07986,-40191.36461,-37952.16685,-38143.38602,-45593.46832,0.018,0.988,0.194,192,0,0,0,0,0,0,0,0,0,1753456902,0
12,-12424.64184,-15745.97695,-32083.80575,-54746.46297,-48285.2889,-58764.41255,-42164.86718,-43957.29827,-4439.078801,-17646.74695,-36400.70992,-37741.85929,-40151.37734,-37917.09696,-38125.90696,-45542.99808,0.018,0.988,0.194,192,0,0,0,0,0,0,0,0,0,1753456902,0
14,-12447.75354,-15774.40837,-32159.93579,-54864.88251,-48351.58418,-58789.22299,-42214.64452,-44030.09791,-4488.006769,-17689.28232,-36463.63008,-37749.25771,-40197.51134,-37954.64789,-38144.63772,-45593.06599,0.018,0.988,0.194,192,0,0,0,0,0,0,0,0,0,1753456902,0
16,-12432.10732,-15751.94487,-32098.49085,-54767.76418,-48303.61734,-58775.65548,-42185.74371,-43986.82493,-4454.166228,-17660.2027,-36412.60104,-37761.9088,-40168.8564,-37930.12803,-38138.31218,-45551.37999,0.016,0.989,0.193,192,0,56,15,120,3,0,0,0,0,1753456902,0
18,-12460.29287,-15784.06433,-32168.00477,-54866.0448,-48354.60166,-58789.51356,-42221.88648,-44024.3088,-4497.707426,-17701.46402,-36479.94685,-37761.41706,-40206.58615,-37959.11824,-38156.99824,-45607.68403,0.016,0.989,0.193,192,0,0,0,0,0,0,0,0,0,1753456902,0
20,-12421.31143,-15739.11497,-32091.00301,-54765.61842,-48305.80781,-58748.65457,-42172.75735,-43957.6559,-4460.380013,-17669.92571,-36414.05391,-37764.5016,-40179.20526,-37934.15134,-38143.47543,-45547.78135,0.016,0.989,0.193,192,0,0,0,0,0,0,0,0,0,1753456902,0
