0,-4652.202684,-6966.278787,-13991.96851,-26209.6332,-21264.66736,-27398.94717,-18171.4318,-18845.20279,-276.334617,-7348.381859,-16823.59926,-18999.49688,-18202.2325,-17600.05416,-17836.04388,-21891.25382,0.018,0.497,0.085,192,0.5,16,15.5,8,2.5,40,0,0,0,1753457454,0
2,-9278.969083,-13902.24861,-27912.16557,-52322.75156,-42490.55445,-54771.67574,-36304.53036,-37631.93341,-156.551618,-14382.90052,-33010.71024,-37636.87314,-35917.4652,-34678.57506,-35167.38536,-43256.52638,0.018,0.497,0.085,192,0,0,0,0,0,0,0,0,0,1753457454,0
4,-9315.670647,-13942.14647,-27961.33941,-52371.45601,-42469.52146,-54799.16838,-36313.3593,-37639.77887,-143.229978,-14362.42632,-33017.1699,-37579.69738,-35877.96967,-34627.12134,-35152.09677,-43257.66632,0.018,0.497,0.085,192,0,0,0,0,0,0,0,0,0,1753457454,0
6,-9281.383071,-13907.88125,-27928.5494,-52344.90214,-42501.88679,-54773.86621,-36311.28059,-37651.46883,-161.916037,-14388.84609,-33021.43908,-37637.78956,-35921.42146,-34677.30101,-35170.55931,-43267.47874,0.018,0.497,0.085,192,0,0,0,0,0,0,0,0,0,1753457454,0
8,-9309.635676,-13933.65281,-27948.71067,-52352.27822,-42449.5837,-54788.68542,-36299.41181,-37617.44948,-140.838342,-14358.67123,-33007.11161,-37573.5283,-35868.91721,-34621.60046,-35151.09094,-43247.96566,0.052,0.992,0.166,192,0.5,80,15.5,0,2.5,24,0,0,0,1753457454,0
10,-9279.661987,-13905.98135,-27931.49983,-52353.79813,-42508.32409,-54763.85263,-36306.25144,-37649.92656,-161.133726,-14382.83347,-33015.58292,-37616.35424,-35916.1241,-34665.72281,-35160.03164,-43259.05213,0.052,0.992,0.166,192,0,0,0,0,0,0,0,0,0,1753457454,0
12,-9331.808607,-13948.69553,-27960.24417,-52348.27725,-42452.95882,-54794.8545,-36301.8258,-37612.68856,-141.553598,-14358.3136,-33003.133,-37572.81304,-35871.17474,-34614.13498,-35145.97239,-43242.24362,0.052,0.992,0.166,192,0,0,0,0,0,0,0,0,0,1753457454,0
14,-9281.427775,-13904.6626,-27942.56394,-52366.60568,-42513.80027,-54763.18208,-36309.11247,-37655.80507,-183.105491,-14392.08709,-33036.99589,-37620.77989,-35931.36799,-34667.17567,-35168.86058,-43268.35045,0.052,0.992,0.166,192,0,0,0,0,0,0,0,0,0,1753457454,0
16,-9301.23142,-13919.66062,-27924.23551,-52312.00037,-42420.90642,-54770.33463,-36270.17573,-37579.83149,-131.741182,-14352.70332,-32991.44304,-37567.80625,-35862.65872,-34605.93189,-35138.55161,-43226.6868,0.054,0.993,0.161,192,0.5,96,15.5,8,2,112,0,0,0,1753457454,0
18,-9284.422908,-13909.60233,-27946.07317,-52380.46377,-42512.12388,-54766.93717,-36302.18343,-37651.7147,-160.329063,-14372.17169,-33021.95317,-37594.0919,-35906.26698,-34651.14947,-35147.84994,-43248.4127,0.054,0.993,0.161,192,0,0,0,0,0,0,0,0,0,1753457454,0
20,-9331.562737,-13953.74703,-27943.99446,-52339.80594,-42432.8199,-54801.2471,-36284.83847,-37591.81203,-129.684821,-14362.8063,-32988.69377,-37575.56231,-35864.78214,-34621.28754,-35135.69059,-43219.57895,0.054,0.993,0.161,192,0,0,0,0,0,0,0,0,0,1753457454,0
22,-9314.106025,-13937.65377,-27974.6834,-52417.38885,-42530.80994,-54790.07122,-36324.04343,-37675.67577,-186.100624,-14418.32804,-33050.83162,-37616.86833,-35927.7023,-34686.01819,-35164.90432,-43280.55451,0.054,0.993,0.161,192,0,0,0,0,0,0,0,0,0,1753457454,0
24,-9324.074903,-13943.62169,-27929.44347,-52324.67381,-42428.08133,-54793.89337,-36277.95414,-37590.49327,-146.269816,-14386.20858,-32996.51688,-37595.9024,-35878.93079,-34651.70826,-35147.3582,-43231.55948,0.054,0.993,0.161,192,0,0,0,0,0,0,0,0,0,1753457454,0
26,-9303.91363,-13932.80344,-27966.43561,-52412.73968,-42522.98683,-54789.73595,-36324.06578,-37678.26857,-176.936409,-14406.57102,-33040.72863,-37595.58947,-35910.3797,-34671.78013,-35152.94613,-43263.23191,0.057,0.9955,0.1565,192,0.5,112,15.5,24,2,96,0,0,0,1753457454,0
28,-9314.195432,-13935.23978,-27910.82447,-52312.02272,-42432.23875,-54794.18395,-36285.33021,-37589.46509,-138.603167,-14386.96854,-32986.79387,-37597.15409,-35871.59942,-34645.40507,-35143.42429,-43221.09887,0.057,0.9955,0.1565,192,0,0,0,0,0,0,0,0,0,1753457454,0
30,-9303.086615,-13929.18246,-27958.25487,-52411.08566,-42527.05485,-54789.78065,-36329.94429,-37672.34536,-174.298903,-14401.43012,-33037.62174,-37588.88395,-35907.76454,-34665.11931,-35155.98597,-43264.97534,0.057,0.9955,0.1565,192,0,0,0,0,0,0,0,0,0,1753457454,0
32,-9296.448147,-13917.73837,-27892.27252,-52299.14812,-42438.85487,-54780.45997,-36281.21749,-37583.51953,-137.977319,-14384.28633,-32987.12915,-37603.07731,-35885.21163,-34652.1553,-35149.66043,-43227.91615,0.057,0.9955,0.1565,192,0,0,0,0,0,0,0,0,0,1753457454,0
34,-9296.828127,-13928.46721,-27958.88072,-52405.00598,-42518.74,-54790.09358,-36324.31165,-37663.60583,-160.217304,-14386.16388,-33030.29037,-37576.41167,-35896.43221,-34647.79671,-35143.98308,-43253.28538,0.057,0.9955,0.1565,192,0,0,0,0,0,0,0,0,0,1753457454,0
36,-9275.258693,-13897.10771,-27878.34738,-52281.37848,-42436.53028,-54767.36185,-36271.00274,-37581.48552,-137.709098,-14373.19987,-32985.34101,-37604.41841,-35889.2126,-34655.61982,-35142.37376,-43220.22715,0.0545,0.99775,0.15225,192,0.5,80,15.5,32,2,80,0,0,0,1753457454,0
38,-9288.692092,-13909.95996,-27946.25198,-52381.42489,-42499.5622,-54778.8283,-36313.11343,-37651.87116,-147.186237,-14363.38745,-33015.22529,-37551.02009,-35882.35061,-34634.58683,-35133.23189,-43237.4827,0.0545,0.99775,0.15225,192,0,0,0,0,0,0,0,0,0,1753457454,0
40,-9289.005016,-13903.00857,-27898.59806,-52297.69526,-42458.79262,-54780.95171,-36292.08044,-37603.81491,-141.151266,-14364.34857,-32985.58688,-37594.89657,-35892.20773,-34653.60816,-35149.19104,-43218.77429,0.0545,0.99775,0.15225,192,0,0,0,0,0,0,0,0,0,1753457454,0
42,-9308.585144,-13926.03087,-27961.36176,-52391.30436,-42495.42713,-54799.63777,-36323.28347,-37658.1073,-160.507877,-14366.20377,-33027.42935,-37559.22318,-35888.98908,-34634.07274,-35149.01223,-43246.49045,0.0545,0.99775,0.15225,192,0,0,0,0,0,0,0,0,0,1753457454,0
